"accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5" "accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05"
"E010519" 0 0 0 0 0 6 56 70 0 0
"E012350" 0 0 0 0 0 7 0 0 0 0
"E012351" 0 0 0 0 0 8 0 0 0 0
"E012353" 0 0 0 0 0 9 0 0 0 0
"E015997" 0 0 0 0 0 10 0 0 68 90
"E026470" 0 0 0 0 0 11 0 0 0 0
"E022806" 0 0 0 0 0 12 0 0 0 0
"E029727" 0 0 0 0 0 13 0 0 0 0
"E000736" 0 0 0 0 0 14 0 0 0 0
"E044309" 0 0 0 0 0 15 87 74 0 0
"E067150" 0 0 0 0 0 16 0 0 0 0
"E028829" 0 0 0 0 0 17 0 0 0 0
"E012349" 0 0 0 0 0 18 0 0 0 0
"E019132" 0 0 0 0 0 19 0 0 0 0
"E031840" 0 0 0 0 0 20 0 0 0 0
"E048646" 0 0 0 0 0 21 0 0 0 0
"E013845" 0 0 0 0 0 22 0 0 0 0
"E007246" 0 0 0 0 0 24 0 0 0 0
"E035633" 0 0 0 0 0 25 0 0 0 0
"E060620" 0 0 0 0 0 26 0 0 0 0
"E046951" 0 0 0 0 0 27 0 0 0 0
"E054878" 0 0 0 0 0 28 0 0 0 0
"E003179" 0 0 0 0 0 29 0 0 0 0
"E008269" 0 0 0 0 0 30 0 0 0 0
"E030859" 0 0 0 0 0 31 0 0 0 0
"E051716" 0 0 0 0 0 32 0 0 0 0
"E058767" 0 0 0 0 0 33 0 0 0 0
"E002878" 0 0 0 0 0 34 0 0 0 0
"E066246" 0 0 0 0 0 35 0 0 0 0
"E009389" 0 0 0 0 0 36 0 0 0 0
"E054875" 0 0 0 0 0 37 0 0 0 0
"E058769" 0 0 0 0 0 38 0 0 0 0
"E008966" 0 0 0 0 0 39 0 0 0 0
"E039038" 0 0 0 0 0 40 0 0 0 0
"E059259" 0 0 0 0 0 41 0 0 0 0
"E059961" 0 0 0 0 0 42 0 0 0 0
"E014475" 0 0 0 0 0 43 0 0 0 0
"E026469" 0 0 0 0 0 44 0 0 0 0
"E048997" 0 0 0 0 0 45 0 0 0 0
"E025242" 0 0 0 0 0 46 0 0 0 0
"E036705" 0 0 0 0 0 47 0 0 0 0
"E050271" 0 0 0 0 0 48 0 0 0 0
"E050276" 0 0 0 0 0 49 0 0 0 0
"E050281" 0 0 0 0 0 50 0 0 0 0
"E037352" 0 0 0 0 0 51 0 0 0 0
"E044704" 0 0 0 0 0 52 0 0 0 0
"E046393" 0 0 0 0 0 53 0 0 0 0
"E014407" 0 0 0 0 0 54 0 0 0 0
"E017257" 0 0 0 0 0 55 0 0 0 0
"E061101" 0 0 0 0 0 56 0 0 0 0
"E066789" 0 0 0 0 0 57 0 0 0 0
"E067381" 0 0 0 0 0 58 0 0 0 0
"E016101" 0 0 0 0 0 59 0 0 0 0
"E023387" 0 0 0 0 0 60 0 0 0 0
