"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"E000102" 0 1 0 0 0 0 0 0 1 0 0 4 1 0 1
"E000103" 0 0 2 2 0 0 0 2 0 0 0 1 1 0 0
"E000104" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"E000105" 0 3 0 0 1 1 4 0 2 0 2 1 5 0 1
"E000106" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"E000107" 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0
"E000108" 0 1 0 1 3 2 0 1 1 1 0 1 0 1 0
"E000109" 0 0 3 2 2 1 0 0 2 0 0 1 0 2 0
"E000110" 0 0 1 2 3 2 1 0 3 0 1 2 0 1 0
"E000111" 0 2 3 2 3 3 0 2 4 2 0 1 1 5 20
"E000112" 0 0 1 0 1 0 0 0 2 0 0 1 0 1 0
"E000113" 0 8 5 1 3 7 3 11 16 7 3 6 7 16 103
"E000114" 0 0 0 0 0 0 0 0 0 0 34 69 39 29 291
"E000115" 0 0 0 0 0 0 0 0 0 0 41 109 49 37 401
"E000116" 0 0 0 0 0 0 0 0 0 0 8 23 9 16 64
"E000117" 0 0 0 0 0 0 0 0 0 0 6 26 17 10 63
"E000118" 0 0 0 0 0 1 0 0 0 0 79 242 140 78 1182
"E000119" 0 0 0 0 0 0 0 0 0 0 2 9 6 3 1
"E000120" 0 1 0 0 0 0 0 0 2 0 13 77 50 19 168
"E000121" 0 0 0 0 0 0 1 0 0 0 0 3 5 4 24
"E000122" 0 0 0 0 0 0 1 0 0 0 0 5 3 1 43
"E000123" 0 0 0 0 0 0 0 0 0 0 0 3 3 1 3
"E000124" 0 0 0 0 0 0 0 0 0 1 0 2 2 2 13
"E000125" 0 0 0 0 0 0 0 0 0 1 0 1 1 4 1
"E000126" 0 0 0 0 0 0 0 0 0 1 0 3 3 10 43
"E000127" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"E000128" 0 0 0 0 0 0 0 0 1 3 1 1 1 4 20
"E000129" 0 3 1 0 0 2 0 0 1 1 2 1 2 5 10
"E000130" 0 1 4 0 0 0 0 0 4 1 3 1 4 8 0
"E000131" 0 1 0 0 0 2 4 6 7 0 4 4 12 5 8
"E000132" 0 6 0 0 3 4 2 3 4 0 2 6 18 11 25
"E000133" 0 3 3 0 1 3 1 5 2 2 3 8 11 9 19
"E000134" 0 6 4 0 4 4 3 12 5 2 6 4 11 10 85
"E000135" 0 0 0 0 0 0 0 0 0 0 17 68 53 176 733
"E000136" 0 0 0 0 0 0 0 0 0 0 5 10 11 34 63
"E000137" 0 1 0 0 0 0 0 0 0 0 25 71 58 192 685
"E000138" 0 1 0 0 0 1 0 0 0 0 10 58 54 183 697
"E000139" 0 0 0 0 0 0 0 0 0 0 18 27 32 88 376
"E000140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000148" 0 0 0 0 0 0 0 0 0 0 0 4 3 1 24
"E000149" 0 0 0 0 0 0 0 0 0 0 0 2 2 0 17
"E000150" 0 0 0 0 0 0 1 0 1 1 1 4 1 1 68
"E000151" 0 0 0 0 0 0 0 0 0 0 14 6 6 19 64
"E000152" 0 0 2 1 1 0 1 1 1 3 213 139 141 356 1791
"E000153" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000154" 0 0 0 0 0 0 0 0 0 0 1 20 0 3 1
"E000155" 0 0 0 0 0 0 0 0 0 1 17 6 17 27 161
"E000156" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"E000157" 0 0 1 0 0 0 0 0 0 0 33 13 23 63 151
"E000158" 0 0 1 0 0 0 0 0 0 0 27 14 19 49 149
"E000159" 0 0 0 0 0 0 0 0 0 1 35 23 27 73 245
"E000160" 0 0 0 0 0 0 0 0 0 0 15 11 12 17 151
"E000161" 0 0 0 0 0 0 0 0 0 0 22 17 26 30 233
"E000162" 0 0 0 0 0 0 0 0 0 0 41 178 186 101 688
"E000163" 0 0 0 0 0 0 0 0 0 0 127 359 367 240 1971
"E000164" 0 0 1 0 0 0 0 0 0 0 662 3459 2885 1660 19879
"E000165" 0 0 0 0 0 0 0 0 0 0 122 903 939 442 5381
"E000166" 0 2 1 0 0 3 1 2 1 4 96 461 331 225 2005
"E000167" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000169" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000171" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000172" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000173" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000174" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000175" 0 0 0 0 0 2 0 0 0 0 18 54 46 113 780
"E000176" 0 0 0 0 0 0 0 0 0 0 5 46 19 42 189
"E000177" 0 0 0 0 0 0 0 0 0 0 11 49 14 41 287
"E000178" 0 0 0 0 0 0 0 0 0 0 12 45 14 39 401
"E000179" 0 0 0 0 0 0 0 0 0 0 11 40 20 45 391
"E000182" 0 0 0 0 0 0 0 0 0 0 4 10 8 2 24
"E000183" 0 0 0 0 0 0 0 0 0 0 6 62 31 4 113
"E000184" 0 0 0 2 0 0 0 0 0 2 238 266 140 138 1414
"E000185" 0 0 0 0 0 4 0 2 0 2 210 216 180 108 1136
"E000186" 0 1 0 0 0 1 0 0 0 1 93 126 88 69 692
"E000187" 0 6 1 5 5 0 3 2 3 2 133 145 76 83 854
"E000188" 0 0 0 0 0 1 0 0 0 1 77 98 77 53 567
"E000189" 0 6 1 5 5 0 3 2 3 2 133 145 76 83 854
"E000190" 0 0 0 0 0 0 0 0 0 0 3 20 8 3 41
"E000191" 0 0 0 0 0 0 0 0 0 0 2 23 11 5 21
"E000192" 0 0 0 0 1 0 0 0 0 0 7 33 31 17 103
